pmid,year,title,journal,doi,first_author,n_authors,authors_full,theme,themes_all,pub_types,screen_decision,exclusion_reason,abstract
36270318,2022,Expected value of artificial intelligence in gastrointestinal endoscopy: European Society of Gastrointestinal Endoscopy (ESGE) Position Statement.,Endoscopy,10.1055/a-1950-5694,"Messmann, H.",34,"Messmann, H.; Bisschops, R.; Antonelli, G.; Libânio, D.; Sinonquel, P.; Abdelrahim, M.; Ahmad, O. F.; Areia, M.; Bergman, J. J. G. H. M.; Bhandari, P.; Boskoski, I.; Dekker, E.; Domagk, D.; Ebigbo, A.; Eelbode, T.; Eliakim, R.; Häfner, M.; Haidry, R. J.; Jover, R.; Kaminski, M. F.; Kuvaev, R.; Mori, Y.; Palazzo, M.; Repici, A.; Rondonotti, E.; Rutter, M. D.; Saito, Y.; Sharma, P.; Spada, C.; Spadaccini, M.; Veitch, A.; Gralnek, I. M.; Hassan, C.; Dinis-Ribeiro, M.",T2 Endoscopic quality & blind-spot audit,T2 Endoscopic quality & blind-spot audit,Journal Article; Consensus Statement,include,,"This ESGE Position Statement defines the expected value of artificial intelligence (AI) for the diagnosis and management of gastrointestinal neoplasia within the framework of the performance measures already defined by ESGE. This is based on the clinical relevance of the expected task and the preliminary evidence regarding artificial intelligence in artificial or clinical settings. MAIN RECOMMENDATIONS:: (1) For acceptance of AI in assessment of completeness of upper GI endoscopy, the adequate level of mucosal inspection with AI should be comparable to that assessed by experienced endoscopists. (2) For acceptance of AI in assessment of completeness of upper GI endoscopy, automated recognition and photodocumentation of relevant anatomical landmarks should be obtained in ≥90% of the procedures. (3) For acceptance of AI in the detection of Barrett's high grade intraepithelial neoplasia or cancer, the AI-assisted detection rate for suspicious lesions for targeted biopsies should be comparable to that of experienced endoscopists with or without advanced imaging techniques. (4) For acceptance of AI in the management of Barrett's neoplasia, AI-assisted selection of lesions amenable to endoscopic resection should be comparable to that of experienced endoscopists. (5) For acceptance of AI in the diagnosis of gastric precancerous conditions, AI-assisted diagnosis of atrophy and intestinal metaplasia should be comparable to that provided by the established biopsy protocol, including the estimation of extent, and consequent allocation to the correct endoscopic surveillance interval. (6) For acceptance of artificial intelligence for automated lesion detection in small-bowel capsule endoscopy (SBCE), the performance of AI-assisted reading should be comparable to that of experienced endoscopists for lesion detection, without increasing but possibly reducing the reading time of the operator. (7) For acceptance of AI in the detection of colorectal polyps, the AI-assisted adenoma detection rate should be comparable to that of experienced endoscopists. (8) For acceptance of AI optical diagnosis (computer-aided diagnosis [CADx]) of diminutive polyps (≤5 mm), AI-assisted characterization should match performance standards for implementing resect-and-discard and diagnose-and-leave strategies. (9) For acceptance of AI in the management of polyps ≥ 6 mm, AI-assisted characterization should be comparable to that of experienced endoscopists in selecting lesions amenable to endoscopic resection."
36282973,2023,Interobserver Reliability of the Nancy Index for Ulcerative Colitis: An Assessment of the Practicability and Ease of Use in a Single-Centre Real-World Setting.,Journal of Crohn's & colitis,10.1093/ecco-jcc/jjac146,"Le, H. D.",14,"Le, H. D.; Pflaum, T.; Labrenz, J.; Sari, S.; Bretschneider, F.; Tran, F.; Lassen, A.; Nikolaus, S.; Szymczak, S.; Kormilez, D.; Rosenstiel, P.; Schreiber, S.; Aden, K.; Röcken, C.",T3 Inter-observer variability in endoscopy,T3 Inter-observer variability in endoscopy,Journal Article,include,,"Histological disease severity assessment in ulcerative colitis [UC] has become a mainstay in the definition of clinical endpoints ['histological remission'] in clinical trials of UC. Several scores have been established in the microscopic assessment of disease activity, but the Nancy index [NI] stands out as being the histological index with the fewest scoring items. To what extent histological assessment using the NI is affected by interobserver reliability in a real-word setting is poorly understood. We therefore performed a single-centre retrospective analysis of NI assessment in patients with UC. We retrospectively evaluated the NI in two independent cohorts [total: 1085 biopsies, 547 UC patients] of clinically diagnosed UC patients, who underwent colonoscopy between 2007 and 2020. Cohort #1 consisted of 637 biopsies from 312 patients, while Cohort #2 consisted of 448 biopsies from 235 patients. Two blinded pathologists with different levels of expertise scored all biopsies from each cohort. A consensus conference was held for cases with discrepant scoring results. Finally, an overall consensus scoring was obtained from both cohorts. The interobserver agreement of the NI was substantial after the assessment of 1085 biopsy samples (κ = 0.796 [95% confidence interval, CI: 0.771-0.820]). An improvement of the interobserver agreement was found with increasing numbers of samples evaluated by both observers (Cohort #1: κ = 0.772 [95% CI: 0.739-0.805]; Cohort #2: κ = 0.829 [95% CI: 0.793-0.864]). Interobserver discordance was highest in NI grade 1 [observer 1: n = 128; observer 2: n = 236]. Interobserver discordance was lowest in NI grades 0 [observer 1: n = 504; observer 2: n = 479] and 3 [observer 1: n = 71; observer 2: n = 66]. The NI is an easy-to-use index with high interobserver reliability for assessment of the histological disease activity of UC patients in a real-world setting. While NI grades 0 and 3 had a high level of agreement between observers, NI grade 1 had a poorer level of agreement. This highlights the clinical need to specify histological characteristics leading to NI grade 1."
36303579,2022,Variational Inference for Quantifying Inter-observer Variability in Segmentation of Anatomical Structures.,Proceedings of SPIE--the International Society for Optical Engineering,10.1117/12.2604547,"Liu, X.",5,"Liu, X.; Xing, F.; Marin, T.; Fakhri, G. E.; Woo, J.",T4 Noisy / soft / multi-annotator labels,T4 Noisy / soft / multi-annotator labels,Journal Article,include,,"Lesions or organ boundaries visible through medical imaging data are often ambiguous, thus resulting in significant variations in multi-reader delineations, i.e., the source of aleatoric uncertainty. In particular, quantifying the inter-observer variability of manual annotations with Magnetic Resonance (MR) Imaging data plays a crucial role in establishing a reference standard for various diagnosis and treatment tasks. Most segmentation methods, however, simply model a mapping from an image to its single segmentation map and do not take the disagreement of annotators into consideration. In order to account for inter-observer variability, without sacrificing accuracy, we propose a novel variational inference framework to model the distribution of plausible segmentation maps, given a specific MR image, which explicitly represents the multi-reader variability. Specifically, we resort to a latent vector to encode the multi-reader variability and counteract the inherent information loss in the imaging data. Then, we apply a variational autoencoder network and optimize its evidence lower bound (ELBO) to efficiently approximate the distribution of the segmentation map, given an MR image. Experimental results, carried out with the QUBIQ brain growth MRI segmentation datasets with seven annotators, demonstrate the effectiveness of our approach."
36306295,2024,Self-Adaptive Training: Bridging Supervised and Self-Supervised Learning.,IEEE transactions on pattern analysis and machine intelligence,10.1109/TPAMI.2022.3217792,"Huang, L.",3,"Huang, L.; Zhang, C.; Zhang, H.",T4 Noisy / soft / multi-annotator labels,T4 Noisy / soft / multi-annotator labels,Journal Article,include,,"We propose self-adaptive training-a unified training algorithm that dynamically calibrates and enhances training processes by model predictions without incurring an extra computational cost-to advance both supervised and self-supervised learning of deep neural networks. We analyze the training dynamics of deep networks on training data that are corrupted by, e.g., random noise and adversarial examples. Our analysis shows that model predictions are able to magnify useful underlying information in data and this phenomenon occurs broadly even in the absence of any label information, highlighting that model predictions could substantially benefit the training processes: self-adaptive training improves the generalization of deep networks under noise and enhances the self-supervised representation learning. The analysis also sheds light on understanding deep learning, e.g., a potential explanation of the recently-discovered double-descent phenomenon in empirical risk minimization and the collapsing issue of the state-of-the-art self-supervised learning algorithms. Experiments on the CIFAR, STL, and ImageNet datasets verify the effectiveness of our approach in three applications: classification with label noise, selective classification, and linear evaluation. To facilitate future research, the code has been made publicly available at https://github.com/LayneH/self-adaptive-training."
36306568,2023,Predictive uncertainty estimation for out-of-distribution detection in digital pathology.,Medical image analysis,10.1016/j.media.2022.102655,"Linmans, J.",4,"Linmans, J.; Elfwing, S.; van der Laak, J.; Litjens, G.",T5 Uncertainty & calibration,T5 Uncertainty & calibration; T6 External validation & dataset shift,"Journal Article; Research Support, Non-U.S. Gov't",include,,"Machine learning model deployment in clinical practice demands real-time risk assessment to identify situations in which the model is uncertain. Once deployed, models should be accurate for classes seen during training while providing informative estimates of uncertainty to flag abnormalities and unseen classes for further analysis. Although recent developments in uncertainty estimation have resulted in an increasing number of methods, a rigorous empirical evaluation of their performance on large-scale digital pathology datasets is lacking. This work provides a benchmark for evaluating prevalent methods on multiple datasets by comparing the uncertainty estimates on both in-distribution and realistic near and far out-of-distribution (OOD) data on a whole-slide level. To this end, we aggregate uncertainty values from patch-based classifiers to whole-slide level uncertainty scores. We show that results found in classical computer vision benchmarks do not always translate to the medical imaging setting. Specifically, we demonstrate that deep ensembles perform best at detecting far-OOD data but can be outperformed on a more challenging near-OOD detection task by multi-head ensembles trained for optimal ensemble diversity. Furthermore, we demonstrate the harmful impact OOD data can have on the performance of deployed machine learning models. Overall, we show that uncertainty estimates can be used to discriminate in-distribution from OOD data with high AUC scores. Still, model deployment might require careful tuning based on prior knowledge of prospective OOD data."
36315487,2022,SkiNet: A deep learning framework for skin lesion diagnosis with uncertainty estimation and explainability.,PloS one,10.1371/journal.pone.0276836,"Singh, R. K.",4,"Singh, R. K.; Gorantla, R.; Allada, S. G. R.; Narra, P.",T5 Uncertainty & calibration,T5 Uncertainty & calibration,Journal Article,include,,"Skin cancer is considered to be the most common human malignancy. Around 5 million new cases of skin cancer are recorded in the United States annually. Early identification and evaluation of skin lesions are of great clinical significance, but the disproportionate dermatologist-patient ratio poses a significant problem in most developing nations. Therefore a novel deep architecture, named as SkiNet, is proposed to provide faster screening solution and assistance to newly trained physicians in the process of clinical diagnosis of skin cancer. The main motive behind SkiNet's design and development is to provide a white box solution, addressing a critical problem of trust and interpretability which is crucial for the wider adoption of Computer-aided diagnosis systems by medical practitioners. The proposed SkiNet is a two-stage pipeline wherein the lesion segmentation is followed by the lesion classification. Monte Carlo dropout and test time augmentation techniques have been employed in the proposed method to estimate epistemic and aleatoric uncertainty. A novel segmentation model named Bayesian MultiResUNet is used to estimate the uncertainty on the predicted segmentation map. Saliency-based methods like XRAI, Grad-CAM and Guided Backprop are explored to provide post-hoc explanations of the deep learning models. The ISIC-2018 dataset is used to perform the experimentation and ablation studies. The results establish the robustness of the proposed model on the traditional benchmarks while addressing the black-box nature of such models to alleviate the skepticism of medical practitioners by incorporating transparency and confidence to the model's prediction."
36323656,2022,Uncertainty-informed deep learning models enable high-confidence predictions for digital histopathology.,Nature communications,10.1038/s41467-022-34025-x,"Dolezal, J. M.",16,"Dolezal, J. M.; Srisuwananukorn, A.; Karpeyev, D.; Ramesh, S.; Kochanny, S.; Cody, B.; Mansfield, A. S.; Rakshit, S.; Bansal, R.; Bois, M. C.; Bungum, A. O.; Schulte, J. J.; Vokes, E. E.; Garassino, M. C.; Husain, A. N.; Pearson, A. T.",T5 Uncertainty & calibration,T5 Uncertainty & calibration,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",include,,"A model's ability to express its own predictive uncertainty is an essential attribute for maintaining clinical user confidence as computational biomarkers are deployed into real-world medical settings. In the domain of cancer digital histopathology, we describe a clinically-oriented approach to uncertainty quantification for whole-slide images, estimating uncertainty using dropout and calculating thresholds on training data to establish cutoffs for low- and high-confidence predictions. We train models to identify lung adenocarcinoma vs. squamous cell carcinoma and show that high-confidence predictions outperform predictions without uncertainty, in both cross-validation and testing on two large external datasets spanning multiple institutions. Our testing strategy closely approximates real-world application, with predictions generated on unsupervised, unannotated slides using predetermined thresholds. Furthermore, we show that uncertainty thresholding remains reliable in the setting of domain shift, with accurate high-confidence predictions of adenocarcinoma vs. squamous cell carcinoma for out-of-distribution, non-lung cancer cohorts."
36336682,2022,Automatic segmentation of the great arteries for computational hemodynamic assessment.,Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,10.1186/s12968-022-00891-z,"Montalt-Tordera, J.",10,"Montalt-Tordera, J.; Pajaziti, E.; Jones, R.; Sauvage, E.; Puranik, R.; Singh, A. A. V.; Capelli, C.; Steeden, J.; Schievano, S.; Muthurangu, V.",T4 Noisy / soft / multi-annotator labels,T4 Noisy / soft / multi-annotator labels,"Journal Article; Research Support, Non-U.S. Gov't",include,,"Computational fluid dynamics (CFD) is increasingly used for the assessment of blood flow conditions in patients with congenital heart disease (CHD). This requires patient-specific anatomy, typically obtained from segmented 3D cardiovascular magnetic resonance (CMR) images. However, segmentation is time-consuming and requires expert input. This study aims to develop and validate a machine learning (ML) method for segmentation of the aorta and pulmonary arteries for CFD studies. 90 CHD patients were retrospectively selected for this study. 3D CMR images were manually segmented to obtain ground-truth (GT) background, aorta and pulmonary artery labels. These were used to train and optimize a U-Net model, using a 70-10-10 train-validation-test split. Segmentation performance was primarily evaluated using Dice score. CFD simulations were set up from GT and ML segmentations using a semi-automatic meshing and simulation pipeline. Mean pressure and velocity fields across 99 planes along the vessel centrelines were extracted, and a mean average percentage error (MAPE) was calculated for each vessel pair (ML vs GT). A second observer (SO) segmented the test dataset for assessment of inter-observer variability. Friedman tests were used to compare ML vs GT, SO vs GT and ML vs SO metrics, and pressure/velocity field errors. The network's Dice score (ML vs GT) was 0.945 (interquartile range: 0.929-0.955) for the aorta and 0.885 (0.851-0.899) for the pulmonary arteries. Differences with the inter-observer Dice score (SO vs GT) and ML vs SO Dice scores were not statistically significant for either aorta or pulmonary arteries (p = 0.741, p = 0.061). The ML vs GT MAPEs for pressure and velocity in the aorta were 10.1% (8.5-15.7%) and 4.1% (3.1-6.9%), respectively, and for the pulmonary arteries 14.6% (11.5-23.2%) and 6.3% (4.3-7.9%), respectively. Inter-observer (SO vs GT) and ML vs SO pressure and velocity MAPEs were of a similar magnitude to ML vs GT (p &gt; 0.2). ML can successfully segment the great vessels for CFD, with errors similar to inter-observer variability. This fast, automatic method reduces the time and effort needed for CFD analysis, making it more attractive for routine clinical use."
36358732,2022,A Soft Label Deep Learning to Assist Breast Cancer Target Therapy and Thyroid Cancer Diagnosis.,Cancers,10.3390/cancers14215312,"Wang, C. W.",6,"Wang, C. W.; Lin, K. Y.; Lin, Y. J.; Khalil, M. A.; Chu, K. L.; Chao, T. K.",T4 Noisy / soft / multi-annotator labels,T4 Noisy / soft / multi-annotator labels,Journal Article,include,,"According to the World Health Organization Report 2022, cancer is the most common cause of death contributing to nearly one out of six deaths worldwide. Early cancer diagnosis and prognosis have become essential in reducing the mortality rate. On the other hand, cancer detection is a challenging task in cancer pathology. Trained pathologists can detect cancer, but their decisions are subjective to high intra- and inter-observer variability, which can lead to poor patient care owing to false-positive and false-negative results. In this study, we present a soft label fully convolutional network (SL-FCN) to assist in breast cancer target therapy and thyroid cancer diagnosis, using four datasets. To aid in breast cancer target therapy, the proposed method automatically segments human epidermal growth factor receptor 2 (HER2) amplification in fluorescence in situ hybridization (FISH) and dual in situ hybridization (DISH) images. To help in thyroid cancer diagnosis, the proposed method automatically segments papillary thyroid carcinoma (PTC) on Papanicolaou-stained fine needle aspiration and thin prep whole slide images (WSIs). In the evaluation of segmentation of HER2 amplification in FISH and DISH images, we compare the proposed method with thirteen deep learning approaches, including U-Net, U-Net with InceptionV5, Ensemble of U-Net with Inception-v4, Inception-Resnet-v2 encoder, and ResNet-34 encoder, SegNet, FCN, modified FCN, YOLOv5, CPN, SOLOv2, BCNet, and DeepLabv3+ with three different backbones, including MobileNet, ResNet, and Xception, on three clinical datasets, including two DISH datasets on two different magnification levels and a FISH dataset. The result on DISH breast dataset 1 shows that the proposed method achieves high accuracy of 87.77 ± 14.97%, recall of 91.20 ± 7.72%, and F1-score of 81.67 ± 17.76%, while, on DISH breast dataset 2, the proposed method achieves high accuracy of 94.64 ± 2.23%, recall of 83.78 ± 6.42%, and F1-score of 85.14 ± 6.61% and, on the FISH breast dataset, the proposed method achieves high accuracy of 93.54 ± 5.24%, recall of 83.52 ± 13.15%, and F1-score of 86.98 ± 9.85%, respectively. Furthermore, the proposed method outperforms most of the benchmark approaches by a significant margin (p <0.001). In evaluation of segmentation of PTC on Papanicolaou-stained WSIs, the proposed method is compared with three deep learning methods, including Modified FCN, U-Net, and SegNet. The experimental result demonstrates that the proposed method achieves high accuracy of 99.99 ± 0.01%, precision of 92.02 ± 16.6%, recall of 90.90 ± 14.25%, and F1-score of 89.82 ± 14.92% and significantly outperforms the baseline methods, including U-Net and FCN (p <0.001). With the high degree of accuracy, precision, and recall, the results show that the proposed method could be used in assisting breast cancer target therapy and thyroid cancer diagnosis with faster evaluation and minimizing human judgment errors."
36375834,2023,Detection of cerebral aneurysms using artificial intelligence: a systematic review and meta-analysis.,Journal of neurointerventional surgery,10.1136/jnis-2022-019456,"Din, M.",6,"Din, M.; Agarwal, S.; Grzeda, M.; Wood, D. A.; Modat, M.; Booth, T. C.",T6 External validation & dataset shift,T6 External validation & dataset shift,Meta-Analysis; Systematic Review; Journal Article,include,,"Subarachnoid hemorrhage from cerebral aneurysm rupture is a major cause of morbidity and mortality. Early aneurysm identification, aided by automated systems, may improve patient outcomes. Therefore, a systematic review and meta-analysis of the diagnostic accuracy of artificial intelligence (AI) algorithms in detecting cerebral aneurysms using CT, MRI or DSA was performed. MEDLINE, Embase, Cochrane Library and Web of Science were searched until August 2021. Eligibility criteria included studies using fully automated algorithms to detect cerebral aneurysms using MRI, CT or DSA. Following Preferred Reporting Items for Systematic Reviews and Meta-Analysis: Diagnostic Test Accuracy (PRISMA-DTA), articles were assessed using Quality Assessment of Diagnostic Accuracy Studies 2 (QUADAS-2). Meta-analysis included a bivariate random-effect model to determine pooled sensitivity, specificity, and area under the receiver operator characteristic curve (ROC-AUC). CRD42021278454. 43 studies were included, and 41/43 (95%) were retrospective. 34/43 (79%) used AI as a standalone tool, while 9/43 (21%) used AI assisting a reader. 23/43 (53%) used deep learning. Most studies had high bias risk and applicability concerns, limiting conclusions. Six studies in the standalone AI meta-analysis gave (pooled) 91.2% (95% CI 82.2% to 95.8%) sensitivity; 16.5% (95% CI 9.4% to 27.1%) false-positive rate (1-specificity); 0.936 ROC-AUC. Five reader-assistive AI studies gave (pooled) 90.3% (95% CI 88.0% - 92.2%) sensitivity; 7.9% (95% CI 3.5% to 16.8%) false-positive rate; 0.910 ROC-AUC. AI has the potential to support clinicians in detecting cerebral aneurysms. Interpretation is limited due to high risk of bias and poor generalizability. Multicenter, prospective studies are required to assess AI in clinical practice."
36376402,2022,Enhanced survival prediction using explainable artificial intelligence in heart transplantation.,Scientific reports,10.1038/s41598-022-23817-2,"Lisboa, P. J. G.",6,"Lisboa, P. J. G.; Jayabalan, M.; Ortega-Martorell, S.; Olier, I.; Medved, D.; Nilsson, J.",T5 Uncertainty & calibration,T5 Uncertainty & calibration,"Journal Article; Research Support, Non-U.S. Gov't",include,,"The most limiting factor in heart transplantation is the lack of donor organs. With enhanced prediction of outcome, it may be possible to increase the life-years from the organs that become available. Applications of machine learning to tabular data, typical of clinical decision support, pose the practical question of interpretation, which has technical and potential ethical implications. In particular, there is an issue of principle about the predictability of complex data and whether this is inherent in the data or strongly dependent on the choice of machine learning model, leading to the so-called accuracy-interpretability trade-off. We model 1-year mortality in heart transplantation data with a self-explaining neural network, which is benchmarked against a deep learning model on the same development data, in an external validation study with two data sets: (1) UNOS transplants in 2017-2018 (n = 4750) for which the self-explaining and deep learning models are comparable in their AUROC 0.628 [0.602,0.654] cf. 0.635 [0.609,0.662] and (2) Scandinavian transplants during 1997-2018 (n = 2293), showing good calibration with AUROCs of 0.626 [0.588,0.665] and 0.634 [0.570, 0.698], respectively, with and without missing data (n = 982). This shows that for tabular data, predictive models can be transparent and capture important nonlinearities, retaining full predictive performance."
36381375,2022,Machine learning models for predicting acute kidney injury: a systematic review and critical appraisal.,Clinical kidney journal,10.1093/ckj/sfac181,"Vagliano, I.",6,"Vagliano, I.; Chesnaye, N. C.; Leopold, J. H.; Jager, K. J.; Abu-Hanna, A.; Schut, M. C.",T7 Reporting standards for medical AI,T7 Reporting standards for medical AI,Journal Article,include,,"The number of studies applying machine learning (ML) to predict acute kidney injury (AKI) has grown steadily over the past decade. We assess and critically appraise the state of the art in ML models for AKI prediction, considering performance, methodological soundness, and applicability. We searched PubMed and ArXiv, extracted data, and critically appraised studies based on the Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis (TRIPOD), Checklist for Critical Appraisal and Data Extraction for Systematic Reviews of Prediction Modelling Studies (CHARMS), and Prediction Model Risk of Bias Assessment Tool (PROBAST) guidelines. Forty-six studies from 3166 titles were included. Thirty-eight studies developed a model, five developed and externally validated one, and three studies externally validated one. Flexible ML methods were used more often than deep learning, although the latter was common with temporal variables and text as predictors. Predictive performance showed an area under receiver operating curves ranging from 0.49 to 0.99. Our critical appraisal identified a high risk of bias in 39 studies. Some studies lacked internal validation, whereas external validation and interpretability of results were rarely considered. Fifteen studies focused on AKI prediction in the intensive care setting, and the US-derived Medical Information Mart for Intensive Care (MIMIC) data set was commonly used. Reproducibility was limited as data and code were usually unavailable. Flexible ML methods are popular for the prediction of AKI, although more complex models based on deep learning are emerging. Our critical appraisal identified a high risk of bias in most models: Studies should use calibration measures and external validation more often, improve model interpretability, and share data and code to improve reproducibility."
36395623,2023,Learn-Morph-Infer: A new way of solving the inverse problem for brain tumor modeling.,Medical image analysis,10.1016/j.media.2022.102672,"Ezhov, I.",15,"Ezhov, I.; Scibilia, K.; Franitza, K.; Steinbauer, F.; Shit, S.; Zimmer, L.; Lipkova, J.; Kofler, F.; Paetzold, J. C.; Canalini, L.; Waldmannstetter, D.; Menten, M. J.; Metz, M.; Wiestler, B.; Menze, B.",T5 Uncertainty & calibration,T5 Uncertainty & calibration,"Journal Article; Research Support, Non-U.S. Gov't",include,,"Current treatment planning of patients diagnosed with a brain tumor, such as glioma, could significantly benefit by accessing the spatial distribution of tumor cell concentration. Existing diagnostic modalities, e.g. magnetic resonance imaging (MRI), contrast sufficiently well areas of high cell density. In gliomas, however, they do not portray areas of low cell concentration, which can often serve as a source for the secondary appearance of the tumor after treatment. To estimate tumor cell densities beyond the visible boundaries of the lesion, numerical simulations of tumor growth could complement imaging information by providing estimates of full spatial distributions of tumor cells. Over recent years a corpus of literature on medical image-based tumor modeling was published. It includes different mathematical formalisms describing the forward tumor growth model. Alongside, various parametric inference schemes were developed to perform an efficient tumor model personalization, i.e. solving the inverse problem. However, the unifying drawback of all existing approaches is the time complexity of the model personalization which prohibits a potential integration of the modeling into clinical settings. In this work, we introduce a deep learning based methodology for inferring the patient-specific spatial distribution of brain tumors from T1Gd and FLAIR MRI medical scans. Coined as Learn-Morph-Infer, the method achieves real-time performance in the order of minutes on widely available hardware and the compute time is stable across tumor models of different complexity, such as reaction-diffusion and reaction-advection-diffusion models. We believe the proposed inverse solution approach not only bridges the way for clinical translation of brain tumor personalization but can also be adopted to other scientific and engineering domains."
36397723,2023,Reporting and risk of bias of prediction models based on machine learning methods in preterm birth: A systematic review.,Acta obstetricia et gynecologica Scandinavica,10.1111/aogs.14475,"Yang, Q.",9,"Yang, Q.; Fan, X.; Cao, X.; Hao, W.; Lu, J.; Wei, J.; Tian, J.; Yin, M.; Ge, L.",T7 Reporting standards for medical AI,T7 Reporting standards for medical AI,Systematic Review; Journal Article,include,,"There was limited evidence on the quality of reporting and methodological quality of prediction models using machine learning methods in preterm birth. This systematic review aimed to assess the reporting quality and risk of bias of a machine learning-based prediction model in preterm birth. We conducted a systematic review, searching the PubMed, Embase, the Cochrane Library, China National Knowledge Infrastructure, China Biology Medicine disk, VIP Database, and WanFang Data from inception to September 27, 2021. Studies that developed (validated) a prediction model using machine learning methods in preterm birth were included. We used the Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) statement and Prediction model Risk of Bias Assessment Tool (PROBAST) to evaluate the reporting quality and the risk of bias of included studies, respectively. Findings were summarized using descriptive statistics and visual plots. The protocol was registered in PROSPERO (no. CRD 42022301623). Twenty-nine studies met the inclusion criteria, with 24 development-only studies and 5 development-with-validation studies. Overall, TRIPOD adherence per study ranged from 17% to 79%, with a median adherence of 49%. The reporting of title, abstract, blinding of predictors, sample size justification, explanation of model, and model performance were mostly poor, with TRIPOD adherence ranging from 4% to 17%. For all included studies, 79% had a high overall risk of bias, and 21% had an unclear overall risk of bias. The analysis domain was most commonly rated as high risk of bias in included studies, mainly as a result of small effective sample size, selection of predictors based on univariable analysis, and lack of calibration evaluation. Reporting and methodological quality of machine learning-based prediction models in preterm birth were poor. It is urgent to improve the design, conduct, and reporting of such studies to boost the application of machine learning-based prediction models in preterm birth in clinical practice."
36400939,2022,Improving the repeatability of deep learning models with Monte Carlo dropout.,NPJ digital medicine,10.1038/s41746-022-00709-3,"Lemay, A.",10,"Lemay, A.; Hoebel, K.; Bridge, C. P.; Befano, B.; De Sanjosé, S.; Egemen, D.; Rodriguez, A. C.; Schiffman, M.; Campbell, J. P.; Kalpathy-Cramer, J.",T5 Uncertainty & calibration,T5 Uncertainty & calibration,Journal Article,include,,"The integration of artificial intelligence into clinical workflows requires reliable and robust models. Repeatability is a key attribute of model robustness. Ideal repeatable models output predictions without variation during independent tests carried out under similar conditions. However, slight variations, though not ideal, may be unavoidable and acceptable in practice. During model development and evaluation, much attention is given to classification performance while model repeatability is rarely assessed, leading to the development of models that are unusable in clinical practice. In this work, we evaluate the repeatability of four model types (binary classification, multi-class classification, ordinal classification, and regression) on images that were acquired from the same patient during the same visit. We study the each model's performance on four medical image classification tasks from public and private datasets: knee osteoarthritis, cervical cancer screening, breast density estimation, and retinopathy of prematurity. Repeatability is measured and compared on ResNet and DenseNet architectures. Moreover, we assess the impact of sampling Monte Carlo dropout predictions at test time on classification performance and repeatability. Leveraging Monte Carlo predictions significantly increases repeatability, in particular at the class boundaries, for all tasks on the binary, multi-class, and ordinal models leading to an average reduction of the 95% limits of agreement by 16% points and of the class disagreement rate by 7% points. The classification accuracy improves in most settings along with the repeatability. Our results suggest that beyond about 20 Monte Carlo iterations, there is no further gain in repeatability. In addition to the higher test-retest agreement, Monte Carlo predictions are better calibrated which leads to output probabilities reflecting more accurately the true likelihood of being correctly classified."
36405078,2022,Post-operative glioblastoma multiforme segmentation with uncertainty estimation.,Frontiers in human neuroscience,10.3389/fnhum.2022.932441,"Holtzman Gazit, M.",5,"Holtzman Gazit, M.; Faran, R.; Stepovoy, K.; Peles, O.; Shamir, R. R.",T4 Noisy / soft / multi-annotator labels,T4 Noisy / soft / multi-annotator labels,Journal Article,include,,"Segmentation of post-operative glioblastoma multiforme (GBM) is essential for the planning of Tumor Treating Fields (TTFields) treatment and other clinical applications. Recent methods developed for pre-operative GBM segmentation perform poorly on post-operative GBM MRI scans. In this paper we present a method for the segmentation of GBM in post-operative patients. Our method incorporates an ensemble of segmentation networks and the Kullback-Leibler divergence agreement score in the objective function to estimate the prediction label uncertainty and cope with noisy labels and inter-observer variability. Moreover, our method integrates the surgery type and computes non-tumorous tissue delineation to automatically segment the tumor. We trained and validated our method on a dataset of 340 enhanced T1 MRI scans of patients that were treated with TTFields (270 scans for train and 70 scans for test). For validation, we developed a tool that uses the uncertainty map along with the segmentation result. Our tool allows visualization and fast editing of the tissues to improve the results dependent on user preference. Three physicians reviewed and graded our segmentation and editing tool on 12 different MRI scans. The validation set average (SD) Dice scores were 0.81 (0.11), 0.71 (0.24), 0.64 (0.25), and 0.68 (0.19) for whole-tumor, resection, necrotic-core, and enhancing-tissue, respectively. The physicians rated 72% of the segmented GBMs acceptable for treatment planning or better. Another 22% can be edited manually in a reasonable time to achieve a clinically acceptable result. According to these results, the proposed method for GBM segmentation can be integrated into TTFields treatment planning software in order to shorten the planning process. To conclude, we have extended a state-of-the-art pre-operative GBM segmentation method with surgery-type, anatomical information, and uncertainty visualization to facilitate a clinically viable segmentation of post-operative GBM for TTFields treatment planning."
