pmid,year,first_author,authors_full,title,journal,doi,theme,source,relevance_score,abstract,volume,issue,pages,elocation,apa
,2006,"Demsar, J.","Demsar, J.",Statistical comparisons of classifiers over multiple data sets,Journal of Machine Learning Research,,T4 Leakage & validity,Hand-searched (CS venue),,,7,,1-30,,"Demsar, J. (2006). Statistical comparisons of classifiers over multiple data sets. *Journal of Machine Learning Research*, *7*, 1-30."
41098391.0,2025,"Esteve Domínguez, A. S.","Esteve Domínguez, A. S.; Dimmers, M.; Mulders, T. A.; Dumoulin, D.; De Ruysscher, D.; Peeters, S.; von der Thüsen, J.; Akram, F.",Artificial intelligence for diagnosis and prognosis of thymic epithelial tumors: a systematic review.,"Mediastinum (Hong Kong, China)",10.21037/med-25-34,T4 Leakage & validity,PubMed/MEDLINE,6.0,"Thymic epithelial tumors (TETs) are rare, but they are the most common tumors in the anterior mediastinum. The use of artificial intelligence (AI) in the medical field is rapidly advancing. Especially in a rare disease such as TET, AI can help to improve existing care and foster new innovations. However, there are many different AI models with various implications. This systematic review aims to give an overview of recent studies on AI applications for the diagnosis and prognosis of TETs. In this systematic review, six electronic databases were searched for research papers with the keywords ""thymoma"", ""thymic epithelial tumors"", ""thymic carcinoma"", ""artificial intelligence"", ""machine learning"" and ""deep learning"". The screening was performed by two reviewers and conflicts were resolved by a third reviewer. After removal of duplicates, 582 articles were included. Of these, 65 articles were eligible for inclusion after screening. AI models are used mainly for distinguishing between different mediastinal tumor types (n=21), risk stratification (n=26), surgical planning (n=7) and for assisting in subtyping (n=4). For prognostic purposes, AI is used for predicting clinical outcome as well as the chance of metastasis or prognosis (n=7). Models using combined clinical and radiomics data performed better than models with a single type of data. Some of the AI models outperformed physicians or successfully supported physicians in their workflow. Many AI models have been studied in the context of the diagnosis and prognosis of TETs. Even though results are promising, external validation is often lacking, and sample sizes are small. Therefore, most models are not yet ready for clinical implementation. Further research on AI models with larger datasets and external validation is necessary, with careful consideration of the risk of data leakage.",9,,27,27,"Esteve Domínguez, A. S., Dimmers, M., Mulders, T. A., Dumoulin, D., De Ruysscher, D., Peeters, S., von der Thüsen, J., & Akram, F. (2025). Artificial intelligence for diagnosis and prognosis of thymic epithelial tumors: a systematic review. *Mediastinum (Hong Kong, China)*, *9*, 27. https://doi.org/10.21037/med-25-34"
,2021,"Gebru, T.","Gebru, T.; Morgenstern, J.; Vecchione, B.; Vaughan, J. W.; Wallach, H.; Daume III, H.; Crawford, K.",Datasheets for datasets,Communications of the ACM,10.1145/3458723,T5 Reporting standards,Hand-searched (CS venue),,,64,12,86-92,,"Gebru, T., Morgenstern, J., Vecchione, B., Vaughan, J. W., Wallach, H., Daume III, H., & Crawford, K. (2021). Datasheets for datasets. *Communications of the ACM*, *64*(12), 86-92. https://doi.org/10.1145/3458723"
35007754.0,2022,"Han, S.","Han, S.; Zhang, R. F.; Shi, L.; Richie, R.; Liu, H.; Tseng, A.; Quan, W.; Ryan, N.; Brent, D.; Tsui, F. R.",Classifying social determinants of health from unstructured electronic health records using deep learning-based natural language processing.,Journal of biomedical informatics,10.1016/j.jbi.2021.103984,T2 Rule-based vs ML,PubMed/MEDLINE,16.0,"Social determinants of health (SDOH) are non-medical factors that can profoundly impact patient health outcomes. However, SDOH are rarely available in structured electronic health record (EHR) data such as diagnosis codes, and more commonly found in unstructured narrative clinical notes. Hence, identifying social context from unstructured EHR data has become increasingly important. Yet, previous work on using natural language processing to automate extraction of SDOH from text (a) usually focuses on an ad hoc selection of SDOH, and (b) does not use the latest advances in deep learning. Our objective was to advance automatic extraction of SDOH from clinical text by (a) systematically creating a set of SDOH based on standard biomedical and psychiatric ontologies, and (b) training state-of-the-art deep neural networks to extract mentions of these SDOH from clinical notes. A retrospective cohort study. Data were extracted from the Medical Information Mart for Intensive Care (MIMIC-III) database. The corpus comprised 3,504 social related sentences from 2,670 clinical notes. We developed a framework for automated classification of multiple SDOH categories. Our dataset comprised narrative clinical notes under the ""Social Work"" category in the MIMIC-III Clinical Database. Using standard terminologies, SNOMED-CT and DSM-IV, we systematically curated a set of 13 SDOH categories and created annotation guidelines for these. After manually annotating the 3,504 sentences, we developed and tested three deep neural network (DNN) architectures - convolutional neural network (CNN), long short-term memory (LSTM) network, and the Bidirectional Encoder Representations from Transformers (BERT) - for automated detection of eight SDOH categories. We also compared these DNNs to three baselines models: (1) cTAKES, as well as (2) L2-regularized logistic regression and (3) random forests on bags-of-words. Model evaluation metrics included micro- and macro- F1, and area under the receiver operating characteristic curve (AUC). All three DNN models accurately classified all SDOH categories (minimum micro-F1 = 0.632, minimum macro-AUC = 0.854). Compared to the CNN and LSTM, BERT performed best in most key metrics (micro-F1 = 0.690, macro-AUC = 0.907). The BERT model most effectively identified the ""occupational"" category (F1 = 0.774, AUC = 0.965) and least effectively identified the ""non-SDOH"" category (F = 0.491, AUC = 0.788). BERT outperformed cTAKES in distinguishing social vs non-social sentences (BERT F1 = 0.87 vs. cTAKES F1 = 0.06), and outperformed logistic regression (micro-F1 = 0.649, macro-AUC = 0.696) and random forest (micro-F1 = 0.502, macro-AUC = 0.523) trained on bag-of-words. Our study framework with DNN models demonstrated improved performance for efficiently identifying a systematic range of SDOH categories from clinical notes in the EHR. Improved identification of patient SDOH may further improve healthcare outcomes.",127,,103984,10.1016/j.jbi.2021.103984,"Han, S., Zhang, R. F., Shi, L., Richie, R., Liu, H., Tseng, A., Quan, W., Ryan, N., Brent, D., & Tsui, F. R. (2022). Classifying social determinants of health from unstructured electronic health records using deep learning-based natural language processing. *Journal of biomedical informatics*, *127*, 103984. https://doi.org/10.1016/j.jbi.2021.103984"
38432311.0,2024,"Hurkmans, C.","Hurkmans, C.; Bibault, J. E.; Clementel, E.; Dhont, J.; van Elmpt, W.; Kantidakis, G.; Andratschke, N.",Assessment of bias in scoring of AI-based radiotherapy segmentation and planning studies using modified TRIPOD and PROBAST guidelines as an example.,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,10.1016/j.radonc.2024.110196,T5 Reporting standards,PubMed/MEDLINE,19.0,"Studies investigating the application of Artificial Intelligence (AI) in the field of radiotherapy exhibit substantial variations in terms of quality. The goal of this study was to assess the amount of transparency and bias in scoring articles with a specific focus on AI based segmentation and treatment planning, using modified PROBAST and TRIPOD checklists, in order to provide recommendations for future guideline developers and reviewers. The TRIPOD and PROBAST checklist items were discussed and modified using a Delphi process. After consensus was reached, 2 groups of 3 co-authors scored 2 articles to evaluate usability and further optimize the adapted checklists. Finally, 10 articles were scored by all co-authors. Fleiss' kappa was calculated to assess the reliability of agreement between observers. Three of the 37 TRIPOD items and 5 of the 32 PROBAST items were deemed irrelevant. General terminology in the items (e.g., multivariable prediction model, predictors) was modified to align with AI-specific terms. After the first scoring round, further improvements of the items were formulated, e.g., by preventing the use of sub-questions or subjective words and adding clarifications on how to score an item. Using the final consensus list to score the 10 articles, only 2 out of the 61 items resulted in a statistically significant kappa of 0.4 or more demonstrating substantial agreement. For 41 items no statistically significant kappa was obtained indicating that the level of agreement among multiple observers is due to chance alone. Our study showed low reliability scores with the adapted TRIPOD and PROBAST checklists. Although such checklists have shown great value during development and reporting, this raises concerns about the applicability of such checklists to objectively score scientific articles for AI applications. When developing or revising guidelines, it is essential to consider their applicability to score articles without introducing bias.",194,,110196,10.1016/j.radonc.2024.110196,"Hurkmans, C., Bibault, J. E., Clementel, E., Dhont, J., van Elmpt, W., Kantidakis, G., & Andratschke, N. (2024). Assessment of bias in scoring of AI-based radiotherapy segmentation and planning studies using modified TRIPOD and PROBAST guidelines as an example. *Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology*, *194*, 110196. https://doi.org/10.1016/j.radonc.2024.110196"
25756240.0,2015,"Imler, T. D.","Imler, T. D.; Morea, J.; Kahi, C.; Sherer, E. A.; Cardwell, J.; Johnson, C. S.; Xu, H.; Ahnen, D.; Antaki, F.; Ashley, C.; Baffy, G.; Cho, I.; Dominitz, J.; Hou, J.; Korsten, M.; Nagar, A.; Promrat, K.; Robertson, D.; Saini, S.; Shergill, A.; Smalley, W.; Imperiale, T. F.",Multi-center colonoscopy quality measurement utilizing natural language processing.,The American journal of gastroenterology,10.1038/ajg.2015.51,T1 Endoscopy report NLP,PubMed/MEDLINE,11.0,"An accurate system for tracking of colonoscopy quality and surveillance intervals could improve the effectiveness and cost-effectiveness of colorectal cancer (CRC) screening and surveillance. The purpose of this study was to create and test such a system across multiple institutions utilizing natural language processing (NLP). From 42,569 colonoscopies with pathology records from 13 centers, we randomly sampled 750 paired reports. We trained (n=250) and tested (n=500) an NLP-based program with 19 measurements that encompass colonoscopy quality measures and surveillance interval determination, using blinded, paired, annotated expert manual review as the reference standard. The remaining 41,819 nonannotated documents were processed through the NLP system without manual review to assess performance consistency. The primary outcome was system accuracy across the 19 measures. A total of 176 (23.5%) documents with 252 (1.8%) discrepant content points resulted from paired annotation. Error rate within the 500 test documents was 31.2% for NLP and 25.4% for the paired annotators (P=0.001). At the content point level within the test set, the error rate was 3.5% for NLP and 1.9% for the paired annotators (P=0.04). When eight vaguely worded documents were removed, 125 of 492 (25.4%) were incorrect by NLP and 104 of 492 (21.1%) by the initial annotator (P=0.07). Rates of pathologic findings calculated from NLP were similar to those calculated by annotation for the majority of measurements. Test set accuracy was 99.6% for CRC, 95% for advanced adenoma, 94.6% for nonadvanced adenoma, 99.8% for advanced sessile serrated polyps, 99.2% for nonadvanced sessile serrated polyps, 96.8% for large hyperplastic polyps, and 96.0% for small hyperplastic polyps. Lesion location showed high accuracy (87.0-99.8%). Accuracy for number of adenomas was 92%. NLP can accurately report adenoma detection rate and the components for determining guideline-adherent colonoscopy surveillance intervals across multiple sites that utilize different methods for reporting colonoscopy findings.",110,4,543-52,10.1038/ajg.2015.51,"Imler, T. D., Morea, J., Kahi, C., Sherer, E. A., Cardwell, J., Johnson, C. S., Xu, H., Ahnen, D., Antaki, F., Ashley, C., Baffy, G., Cho, I., Dominitz, J., Hou, J., Korsten, M., Nagar, A., Promrat, K., Robertson, D., Saini, S., .. Imperiale, T. F. (2015). Multi-center colonoscopy quality measurement utilizing natural language processing. *The American journal of gastroenterology*, *110*(4), 543-52. https://doi.org/10.1038/ajg.2015.51"
40863396.0,2025,"Ioanovici, A. C.","Ioanovici, A. C.; Feier, A. M.; Mărușteri, M. Ș.; Trâmbițaș-Miron, A. D.; Dobru, D. E.",Enhancing and Not Replacing Clinical Expertise: Improving Named-Entity Recognition in Colonoscopy Reports Through Mixed Real-Synthetic Training Sources.,Journal of personalized medicine,10.3390/jpm15080334,T1 Endoscopy report NLP,PubMed/MEDLINE,14.0,"Background/Objectives: In routine practice, colonoscopy findings are saved as unstructured free text, limiting secondary use. Accurate named-entity recognition (NER) is essential to unlock these descriptions for quality monitoring, personalized medicine and research. We compared named-entity recognition (NER) models trained on real, synthetic, and mixed data to determine whether privacy preserving synthetic reports can boost clinical information extraction. Methods: Three Spark NLP biLSTM CRF models were trained on (i) 100 manually annotated Romanian colonoscopy reports (ModelR), (ii) 100 prompt-generated synthetic reports (ModelS), and (iii) a 1:1 mix (ModelM). Performance was tested on 40 unseen reports (20 real, 20 synthetic) for seven entities. Micro-averaged precision, recall, and F1-score values were computed; McNemar tests with Bonferroni correction assessed pairwise differences. Results: ModelM outperformed single-source models (precision 0.95, recall 0.93, F1 0.94) and was significantly superior to ModelR (F1 0.70) and ModelS (F1 0.64; p < 0.001 for both). ModelR maintained high accuracy on real text (F1 = 0.90), but its accuracy fell when tested on synthetic data (0.47); the reverse was observed for ModelS (F1 = 0.99 synthetic, 0.33 real). McNemar χ2 statistics (64.6 for ModelM vs. ModelR; 147.0 for ModelM vs. ModelS) greatly exceeded the Bonferroni-adjusted significance threshold (α = 0.0167), confirming that the observed performance gains were unlikely to be due to chance. Conclusions: Synthetic colonoscopy descriptions are a valuable complement, but not a substitute for real annotations, while AI is helping human experts, not replacing them. Training on a balanced mix of real and synthetic data can help to obtain robust, generalizable NER models able to structure free-text colonoscopy reports, supporting large-scale, privacy-preserving colorectal cancer surveillance and personalized follow-up.",15,8,,334,"Ioanovici, A. C., Feier, A. M., Mărușteri, M. Ș., Trâmbițaș-Miron, A. D., & Dobru, D. E. (2025). Enhancing and Not Replacing Clinical Expertise: Improving Named-Entity Recognition in Colonoscopy Reports Through Mixed Real-Synthetic Training Sources. *Journal of personalized medicine*, *15*(8). https://doi.org/10.3390/jpm15080334"
38444495.0,2024,"Jeffery, A. D.","Jeffery, A. D.; Fabbri, D.; Reeves, R. M.; Matheny, M. E.",Use of noisy labels as weak learners to identify incompletely ascertainable outcomes: A Feasibility study with opioid-induced respiratory depression.,Heliyon,10.1016/j.heliyon.2024.e26434,T3 Weak supervision,PubMed/MEDLINE,8.0,"Assigning outcome labels to large observational data sets in a timely and accurate manner, particularly when outcomes are rare or not directly ascertainable, remains a significant challenge within biomedical informatics. We examined whether noisy labels generated from subject matter experts' heuristics using heterogenous data types within a data programming paradigm could provide outcomes labels to a large, observational data set. We chose the clinical condition of opioid-induced respiratory depression for our use case because it is rare, has no administrative codes to easily identify the condition, and typically requires at least some unstructured text to ascertain its presence. Using de-identified electronic health records of 52,861 post-operative encounters, we applied a data programming paradigm (implemented in the Snorkel software) for the development of a machine learning classifier for opioid-induced respiratory depression. Our approach included subject matter experts creating 14 labeling functions that served as noisy labels for developing a probabilistic Generative model. We used probabilistic labels from the Generative model as outcome labels for training a Discriminative model on the source data. We evaluated performance of the Discriminative model with a hold-out test set of 599 independently-reviewed patient records. The final Discriminative classification model achieved an accuracy of 0.977, an F1 score of 0.417, a sensitivity of 1.0, and an AUC of 0.988 in the hold-out test set with a prevalence of 0.83% (5/599). All of the confirmed Cases were identified by the classifier. For rare outcomes, this finding is encouraging because it reduces the number of manual reviews needed by excluding visits/patients with low probabilities. Application of a data programming paradigm with expert-informed labeling functions might have utility for phenotyping clinical phenomena that are not easily ascertainable from highly-structured data.",10,5,e26434,e26434,"Jeffery, A. D., Fabbri, D., Reeves, R. M., & Matheny, M. E. (2024). Use of noisy labels as weak learners to identify incompletely ascertainable outcomes: A Feasibility study with opioid-induced respiratory depression. *Heliyon*, *10*(5), e26434. https://doi.org/10.1016/j.heliyon.2024.e26434"
40199913.0,2025,"Joeres, R.","Joeres, R.; Blumenthal, D. B.; Kalinina, O. V.",Data splitting to avoid information leakage with DataSAIL.,Nature communications,10.1038/s41467-025-58606-8,T4 Leakage & validity,PubMed/MEDLINE,6.0,"Information leakage is an increasingly important topic in machine learning research for biomedical applications. When information leakage happens during a model's training, it risks memorizing the training data instead of learning generalizable properties. This can lead to inflated performance metrics that do not reflect the actual performance at inference time. We present DataSAIL, a versatile Python package to facilitate leakage-reduced data splitting to enable realistic evaluation of machine learning models for biological data that are intended to be applied in out-of-distribution scenarios. DataSAIL is based on formulating the problem to find leakage-reduced data splits as a combinatorial optimization problem. We prove that this problem is NP-hard and provide a scalable heuristic based on clustering and integer linear programming. Finally, we empirically demonstrate DataSAIL's impact on evaluating biomedical machine learning models.",16,1,3337,3337,"Joeres, R., Blumenthal, D. B., & Kalinina, O. V. (2025). Data splitting to avoid information leakage with DataSAIL. *Nature communications*, *16*(1), 3337. https://doi.org/10.1038/s41467-025-58606-8"
35398812.0,2022,"Kamel Rahimi, A.","Kamel Rahimi, A.; Canfell, O. J.; Chan, W.; Sly, B.; Pole, J. D.; Sullivan, C.; Shrapnel, S.",Machine learning models for diabetes management in acute care using electronic medical records: A systematic review.,International journal of medical informatics,10.1016/j.ijmedinf.2022.104758,T4 Leakage & validity,PubMed/MEDLINE,10.0,"Machine learning (ML) is a subset of Artificial Intelligence (AI) that is used to predict and potentially prevent adverse patient outcomes. There is increasing interest in the application of these models in digital hospitals to improve clinical decision-making and chronic disease management, particularly for patients with diabetes. The potential of ML models using electronic medical records (EMR) to improve the clinical care of hospitalised patients with diabetes is currently unknown. The aim was to systematically identify and critically review the published literature examining the development and validation of ML models using EMR data for improving the care of hospitalised adult patients with diabetes. The Preferred Reporting Items for Systematic Reviews and Meta Analyses (PRISMA) guidelines were followed. Four databases were searched (Embase, PubMed, IEEE and Web of Science) for studies published between January 2010 to January 2022. The reference lists of the eligible articles were manually searched. Articles that examined adults and both developed and validated ML models using EMR data were included. Studies conducted in primary care and community care settings were excluded. Studies were independently screened and data was extracted using Covidence® systematic review software. For data extraction and critical appraisal, the Checklist for Critical Appraisal and Data Extraction for Systematic Reviews of Prediction Modelling Studies (CHARMS) was followed. Risk of bias was assessed using the Prediction model Risk Of Bias Assessment Tool (PROBAST). Quality of reporting was assessed by adherence to the Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) guideline. The IJMEDI checklist was followed to assess quality of ML models and the reproducibility of their outcomes. The external validation methodology of the studies was appraised. Of the 1317 studies screened, twelve met inclusion criteria. Eight studies developed ML models to predict disglycaemic episodes for hospitalized patients with diabetes, one study developed a ML model to predict total insulin dosage, two studies predicted risk of readmission, and one study improved the prediction of hospital readmission for inpatients with diabetes. All included studies were heterogeneous with regard to ML types, cohort, input predictors, sample size, performance and validation metrics and clinical outcomes. Two studies adhered to the TRIPOD guideline. The methodological reporting of all the studies was evaluated to be at high risk of bias. The quality of ML models in all studies was assessed as poor. Robust external validation was not performed on any of the studies. No models were implemented or evaluated in routine clinical care. This review identified a limited number of ML models which were developed to improve inpatient management of diabetes. No ML models were implemented in real hospital settings. Future research needs to enhance the development, reporting and validation steps to enable ML models for integration into routine clinical care.",162,,104758,10.1016/j.ijmedinf.2022.104758,"Kamel Rahimi, A., Canfell, O. J., Chan, W., Sly, B., Pole, J. D., Sullivan, C., & Shrapnel, S. (2022). Machine learning models for diabetes management in acute care using electronic medical records: A systematic review. *International journal of medical informatics*, *162*, 104758. https://doi.org/10.1016/j.ijmedinf.2022.104758"
,2023,"Kapoor, S.","Kapoor, S.; Narayanan, A.",Leakage and the reproducibility crisis in machine-learning-based science,Patterns,10.1016/j.patter.2023.100804,T4 Leakage & validity,Hand-searched (CS venue),,,4,9,100804,,"Kapoor, S., & Narayanan, A. (2023). Leakage and the reproducibility crisis in machine-learning-based science. *Patterns*, *4*(9), 100804. https://doi.org/10.1016/j.patter.2023.100804"
35845102.0,2022,"Kartchner, D.","Kartchner, D.; Nakajima An, D.; Ren, W.; Zhang, C.; Mitchell, C. S.",Rule-Enhanced Active Learning for Semi-Automated Weak Supervision.,Artificial intelligence,10.3390/ai3010013,T3 Weak supervision,PubMed/MEDLINE,9.0,"A major bottleneck preventing the extension of deep learning systems to new domains is the prohibitive cost of acquiring sufficient training labels. Alternatives such as weak supervision, active learning, and fine-tuning of pretrained models reduce this burden but require substantial human input to select a highly informative subset of instances or to curate labeling functions. REGAL (Rule-Enhanced Generative Active Learning) is an improved framework for weakly supervised text classification that performs active learning over labeling functions rather than individual instances. REGAL interactively creates high-quality labeling patterns from raw text, enabling a single annotator to accurately label an entire dataset after initialization with three keywords for each class. Experiments demonstrate that REGAL extracts up to 3 times as many high-accuracy labeling functions from text as current state-of-the-art methods for interactive weak supervision, enabling REGAL to dramatically reduce the annotation burden of writing labeling functions for weak supervision. Statistical analysis reveals REGAL performs equal or significantly better than interactive weak supervision for five of six commonly used natural language processing (NLP) baseline datasets.",3,1,211-228,10.3390/ai3010013,"Kartchner, D., Nakajima An, D., Ren, W., Zhang, C., & Mitchell, C. S. (2022). Rule-Enhanced Active Learning for Semi-Automated Weak Supervision. *Artificial intelligence*, *3*(1), 211-228. https://doi.org/10.3390/ai3010013"
40010583.0,2025,"Kaul, T.","Kaul, T.; Damen, J. A. A.; Wynants, L.; Van Calster, B.; van Smeden, M.; Hooft, L.; Moons, K. G. M.",Assessing the quality of prediction models in health care using the Prediction model Risk Of Bias ASsessment Tool (PROBAST): an evaluation of its use and practical application.,Journal of clinical epidemiology,10.1016/j.jclinepi.2025.111732,T5 Reporting standards,PubMed/MEDLINE,23.0,"Since 2019, the Prediction model Risk Of Bias ASsessment Tool (PROBAST; www.probast.org) has supported methodological quality assessments of prediction model studies. Most prediction model studies are rated with a ""High"" risk of bias (ROB) and researchers report low interrater reliability (IRR) using PROBAST. We aimed to (1) assess the IRR of PROBAST ratings between assessors of the same study and understand reasons for discrepancies, (2) determine which items contribute most to domain-level ROB ratings, and (3) explore the impact of consensus meetings. We used PROBAST assessments from a systematic review of diagnostic and prognostic COVID-19 prediction models as a case study. Assessors included international experts in prediction model studies or their reviews. We assessed IRR using prevalence-adjusted bias-adjusted kappa (PABAK) before consensus meetings, examined bias ratings per domain-level ROB judgments, and evaluated the impact of consensus meetings by identifying rating changes after discussion. We analyzed 2167 PROBAST assessments from 27 assessor pairs covering 760 prediction models: 384 developments, 242 validations, and 134 mixed assessments (including both). The IRR using PABAK was higher for overall ROB judgments (development: 0.82 [0.76; 0.89]; validation: 0.78 [0.68; 0.88]) compared to domain- and item-level judgments. Some PROBAST items frequently contributed to domain-level ROB judgments, eg, 3.5 Outcome blinding and 4.1 Sample size. Consensus discussions mainly led to item-level and never to overall ROB rating changes. Within this case study, PROBAST assessments received high IRR at the overall ROB level, with some variation at item- and domain-level. To reduce variability, PROBAST assessors should standardize item- and domain-level judgments and hold well-structured consensus meetings between assessors of the same study. The Prediction model Risk Of Bias ASsessment Tool (PROBAST; www.probast.org) provides a set of items to assess the quality of medical studies on so-called prediction tools that calculate an individual's probability of having or developing a certain disease or health outcome. Previous research found low interrater reliability (IRR; ie, how consistently two assessors rate aspects of the same study) when using PROBAST. To understand why this is the case, we conducted a large study involving more than 30 experts from around the world, all of whom applied PROBAST to the same set of prediction tool studies. Based on more than 2150 PROBAST assessments, we identified which PROBAST items led to the most disagreements between raters, explored reasons for these disagreements, and examined whether the use of so-called consensus meetings (ie, different assessors of the same study discuss their ratings and decide on a finalized rating) impacted PROBAST ratings. Our study found that the IRR between different assessors of the same study was higher than previously reported. One explanation for the better agreement compared to previous research may be the preplanning on how to assess certain PROBAST aspects before starting the assessments, as well as holding well-structured consensus meetings. These improvements lead to a more effective use of PROBAST in evaluating the trustworthiness and quality of prediction tools in the health-care domain.",181,,111732,10.1016/j.jclinepi.2025.111732,"Kaul, T., Damen, J. A. A., Wynants, L., Van Calster, B., van Smeden, M., Hooft, L., & Moons, K. G. M. (2025). Assessing the quality of prediction models in health care using the Prediction model Risk Of Bias ASsessment Tool (PROBAST): an evaluation of its use and practical application. *Journal of clinical epidemiology*, *181*, 111732. https://doi.org/10.1016/j.jclinepi.2025.111732"
42205169.0,2026,"Ketchem, C. J.","Ketchem, C. J.; Vurgun, U.; Wang, A.; Thomas, S.; Batugo, A.; Pandolfino, J. E.; Falk, G. W.; Lynch, K. L.; Dellon, E. S.; Mowery, D. L.; Lewis, J. D.",Development and Validation of a Large Language Model Case Identification Strategy for Eosinophilic Esophagitis.,Gastro hep advances,10.1016/j.gastha.2026.100971,T1 Endoscopy report NLP,PubMed/MEDLINE,10.0,"Epidemiologic research in eosinophilic esophagitis (EoE) is limited by the accuracy and efficiency of case identification algorithms. We aimed to evaluate rule-based natural language processing (RB-NLP) and large language model-based natural language processing (LLM-NLP) pipelines for identifying EoE diagnoses and features from unstructured text. We identified gastrointestinal pathology reports with any mention of ""eosinophil"" paired with gastroenterology clinic notes. Three hundred randomly selected patients were divided into training (n = 200, 56 with EoE) and testing (n = 100, 36 with EoE) sets. Manual chart review was the reference standard. RB-NLP used spaCy with medspaCy's clinical components; LLM-NLP prompts were developed through iterative human-in-the-loop refinement. In the validation set, we compared International Classification of Diseases (ICD) codes, RB-NLP, and LLM-NLP against the reference standard using sensitivity (recall), positive predictive value (precision), and F1 score. In the validation set, ICD codes alone had a sensitivity 0.86 (95% confidence interval [CI]: 0.75-0.97), a positive predictive value of 0.97 (95% CI: 0.91-1.0), and an F1 value of 0.91 (95% CI: 0.84-1.0). Combining ICD and LLM-assigned diagnosis yielded a 3-point improvement in F1 score (95% CI: -0.01 to 0.07; P = .2) compared to ICD alone. In a larger cohort (n = 580), the LLM + ICD approach identified the most EoE cases (n = 203) and captured 15% of cases missed by ICD codes. Clinical characteristics varied depending on the case identification strategy used. Combining LLM-NLP with a single ICD code reduced false negatives and modestly improved the F1 score compared to either method alone. This may represent a scalable approach to enhance EoE case identification in real-world data.",5,7,100971,100971,"Ketchem, C. J., Vurgun, U., Wang, A., Thomas, S., Batugo, A., Pandolfino, J. E., Falk, G. W., Lynch, K. L., Dellon, E. S., Mowery, D. L., & Lewis, J. D. (2026). Development and Validation of a Large Language Model Case Identification Strategy for Eosinophilic Esophagitis. *Gastro hep advances*, *5*(7), 100971. https://doi.org/10.1016/j.gastha.2026.100971"
39144367.0,2023,"Khanal, B.","Khanal, B.; Bhattarai, B.; Khanal, B.; Linte, C. A.",Improving Medical Image Classification in Noisy Labels Using only Self-supervised Pretraining.,"Data engineering in medical imaging : first MICCAI Workshop, DEMI 2023, Held in Conjunction with MICCAI 2023, Vancouver, BC, Canada, October 8, 2023, Proceedings. DEMI (Workshop) (1st : 2023 : Vancouver, B.C.)",10.1007/978-3-031-44992-5_8,T3 Weak supervision,PubMed/MEDLINE,8.0,"Noisy labels hurt deep learning-based supervised image classification performance as the models may overfit the noise and learn corrupted feature extractors. For natural image classification training with noisy labeled data, model initialization with contrastive self-supervised pretrained weights has shown to reduce feature corruption and improve classification performance. However, no works have explored: i) how other self-supervised approaches, such as pretext task-based pretraining, impact the learning with noisy label, and ii) any self-supervised pretraining methods alone for medical images in noisy label settings. Medical images often feature smaller datasets and subtle inter-class variations, requiring human expertise to ensure correct classification. Thus, it is not clear if the methods improving learning with noisy labels in natural image datasets such as CIFAR would also help with medical images. In this work, we explore contrastive and pretext task-based selfsupervised pretraining to initialize the weights of a deep learning classification model for two medical datasets with self-induced noisy labels-NCT-CRC-HE-100K tissue histological images and COVID-QU-Ex chest X-ray images. Our results show that models initialized with pretrained weights obtained from self-supervised learning can effectively learn better features and improve robustness against noisy labels.",14314,,78-90,10.1007/978-3-031-44992-5_8,"Khanal, B., Bhattarai, B., Khanal, B., & Linte, C. A. (2023). Improving Medical Image Classification in Noisy Labels Using only Self-supervised Pretraining. *Data engineering in medical imaging : first MICCAI Workshop, DEMI 2023, Held in Conjunction with MICCAI 2023, Vancouver, BC, Canada, October 8, 2023, Proceedings. DEMI (Workshop) (1st : 2023 : Vancouver, B.C.)*, *14314*, 78-90. https://doi.org/10.1007/978-3-031-44992-5_8"
